id	DocDueDate
416678	2025-02-04
416677	2025-02-04
416676	2025-02-04
416674	2024-12-06
416675	2025-02-04
416673	2025-02-04
416665	2025-02-04
416658	2025-02-04
416642	2024-12-06
416626	2024-12-21
416619	2024-11-06
416606	2024-11-06
416594	2025-02-04
403871	2024-12-03
404083	2025-02-01
403920	2024-11-18
403979	2024-11-18
404057	2025-02-01
403863	2024-12-03
404029	2025-02-01
403869	2024-12-03
403897	2024-11-18
403865	2024-12-03
403872	2024-12-03
403864	2024-12-03
403858	2024-12-03
403877	2024-12-03
404041	2025-02-01
403868	2024-12-03
403892	2024-12-03
403944	2024-11-18
404105	2024-11-18
403857	2025-01-02
403708	2024-12-02
403778	2024-12-02
403753	2024-12-02
403591	2025-04-01
403771	2024-12-02
403786	2024-12-02
403832	2024-12-02
403489	2024-12-02
403620	2025-04-01
403749	2025-01-01
403752	2024-12-02
403760	2024-12-02
403803	2024-12-02
403809	2024-12-02
403658	2024-11-17
403541	2024-11-02
403510	2024-11-02
403761	2024-12-02
403715	2024-12-02
403759	2024-12-02
403508	2024-11-02
403662	2025-04-01
403488	2024-11-02
403792	2024-12-02
403776	2024-12-02
403794	2024-11-17
403691	2024-11-02
403748	2024-12-02
403631	2024-12-02
403719	2024-12-02
403736	2024-12-02
403821	2024-12-02
403788	2024-12-02
403768	2024-12-02
403789	2024-12-02
403484	2024-11-02
403825	2024-12-02
403492	2024-11-02
403491	2024-12-02
403798	2024-12-02
403764	2024-12-02
403812	2024-12-02
403793	2024-12-02
403602	2024-11-02
403745	2024-12-02
403807	2024-12-02
403767	2025-01-01
403784	2024-12-02
403523	2025-01-01
403724	2024-12-02
403617	2024-12-02
403744	2024-12-02
403739	2024-12-02
403725	2024-12-02
403735	2024-12-02
403394	2024-11-01
403365	2024-12-01
403357	2024-12-31
403367	2024-12-31
403362	2024-12-31
403398	2024-12-01
403359	2024-12-31
403384	2024-12-01
403355	2024-12-31
399717	2025-03-24
